RestaurantName,Style,Price,Address,Average Rating
Eat This Cafe,Breakfast & Brunch,$$,"6547 Santa Monica Blvd Los Angeles, CA 90038",4.3
Santō,Japanese,,"3822 Sunset Blvd Los Angeles, CA 90026",4.7
Lemon Grove,Thai,,"1717 Vine St Los Angeles, CA 90028",4.4
Mirate,Mexican,,"1712 N Vermont Ave Los Angeles, CA 90027",4.2
Vicky's All Day,American (New),$$,"5410 W Adams Blvd Los Angeles, CA 90016",4.5
Ha Sun Saeng - Master Ha,Korean,$$,"1147 S Western Ave Los Angeles, CA 90006",4.4
Little Sister,Vietnamese,$$,"523 W 7th St Los Angeles, CA 90017",3.9
Mama Shelter Rooftop Bar,American (New),$$,"6500 Selma Ave Los Angeles, CA 90028",3.5
Bossa Nova Brazilian Cuisine,Brazilian,$$,"7181 W Sunset Blvd Los Angeles, CA 90046",3.6
Meteora,American (New),$$$$,"6703 Melrose Avenue Los Angeles, CA 90038",4
Stout Burgers & Beers,American (Traditional),$$,"1544 N Cahuenga Blvd Los Angeles, CA 90028",3.9
Three Borders Brunch & Grill,Breakfast & Brunch,$$,"5269 W Olympic Blvd Los Angeles, CA 90036",4.8
Honey Night,Korean,$$,"3526 W 8th St Los Angeles, CA 90005",4.7
Izakaya Osen - Los Angeles,Japanese,$$,"2903 Sunset Blvd Los Angeles, CA 90026",4.3
Kingdom Dim Sum,Dim Sum,,"5445 Hollywood Blvd Ste B Los Angeles, CA 90027",4.4
Slurpin' Ramen Bar - Los Angeles,Ramen,$$,"3500 W 8th St Los Angeles, CA 90005",4.4
Float Hollywood,Breakfast & Brunch,,"1635 Vine St Los Angeles, CA 90028",4.8
La Lo La Rooftop,Tapas/Small Plates,$$$,"1260 S Figueroa St Los Angeles, CA 90015",3.8
Ggor Ghap Kimbob,Korean,,"3959 Wilshire Blvd Los Angeles, CA 90010",4.7
Abuelita's Birria & Mexican Food,Mexican,,"615 N. Western Ave. Hollywood, CA 90004",4
HomeState,Mexican,$$,"4624 Hollywood Blvd Los Angeles, CA 90027",4.3
etta,American (New),,"8801 Washington Blvd Culver City, CA 90232",4.3
