Title,Content Rating,Rating Description,Content Rating Numerical,Release Year,User Rating Score,Children Show
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,Yes
Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,Yes
The Mr. Peabody and Sherman Show,TV-Y7,Suitable for children ages 7 and older,41,2017,NA,Yes
Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,NA,Yes
One Day at a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,NA,Yes
Buddy Thunderstruck,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,NA,Yes
Win It All,TV-MA,"",110,2017,NA,No
Tramps,TV-MA,"",110,2017,NA,No
The Discovery,TV-MA,"",110,2017,NA,No
Slam,TV-MA,"",110,2017,NA,No
Skins,TV-MA,"",110,2017,NA,No
Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,No
Hot Girls Wanted: Turned On,TV-MA,"",110,2017,NA,No
Felipe Neto: My Life Makes No Sense,TV-MA,"",110,2017,NA,No
Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,No
Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,No
Amy Schumer: The Leather Special,TV-MA,"",110,2017,NA,No
Deidra & Laney Rob a Train,TV-14,"",90,2017,NA,No
Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,NA,No
Abstract: The Art of Design,TV-14,"",90,2017,NA,No
