Gender,Random digits,Eye color,Height,Cash value,Keys,Credit cards,Pulse rate,Exercise,Units taking,Employed,Children,Smoke,Handed,Shoe length,Arrival,Birth month,Navel height,Age,Pineapple,Car,People dated,Religious,Pets,# pets,Apple or Android,Math bad,Outside US,Outside CA,Swim,Cook,Pant leg,Sleep position,Hours of sleep,Piercings,Number of textees,Extroversion
male,2691,brown,66,0,2,11,102,yes,14,yes,0,no,ambidextrous,11,15,7,40,24,no,yes,0,no,yes,3,Neither,yes,yes,yes,yes,yes,Left leg in first,Back,6,0,4,7
male,4932,brown,67,3,4,0,85,yes,13,no,0,no,right,12,15,8,34,16,no,yes,0,yes,yes,1,Apple,yes,yes,yes,yes,yes,Right leg in first,Back,6,0,8,8
male,8062,brown,65,20,1,1,72,yes,15,no,0,no,left,10.5,20,11,37,17,no,yes,8,no,yes,1,Apple,yes,no,yes,yes,no,Right leg in first,Back,7,1,2,4
female,7312,brown,69,20,1,2,64,yes,11,yes,0,no,right,10,10,12,,17,yes,yes,1,no,yes,7,Apple,no,no,yes,yes,yes,Right leg in first,Back,7,2,3,4
female,1205,brown,60,105,2,1,67,yes,7,no,0,no,right,9.25,15,12,20,17,yes,no,1,no,yes,2,Apple,yes,yes,yes,yes,yes,Right leg in first,Back,7,1,4,8
male,7334,brown,61,0,1,2,40,yes,18,yes,0,no,right,11,30,6,,22,yes,yes,3,yes,no,0,Apple,no,yes,yes,yes,yes,Right leg in first,Back,7,0,5,5
male,2839,brown,69,0.3,1,3,50,yes,18,no,1,yes,left,11,10,10,36,18,no,yes,21,yes,yes,2,Apple,yes,yes,yes,yes,yes,Left leg in first,Left side,10,0,3,
male,4444,brown,71,0,4,1,84,yes,12,yes,0,no,right,11.5,3,10,39,18,yes,yes,1,no,yes,3,Apple,yes,no,yes,yes,yes,Left leg in first,Stomach,8.5,0,6,6
male,7141,blue,74,0,1,1,70,yes,18,yes,0,no,right,10.5,10,2,,19,no,yes,1,no,yes,3,Apple,no,yes,yes,yes,yes,Right leg in first,Right side,7,0,3,7
female,7744,brown,54,,,,,no,17,no,2,no,left,10.8,15,1,34,58,yes,yes,3,no,no,0,Apple,no,yes,no,yes,yes,Left leg in first,Back,7,2,6,
female,9999,black,62,150,1,3,90,yes,15,yes,0,no,right,10.25,20,11,33.5,24,yes,yes,1,yes,yes,1,Apple,yes,yes,yes,yes,no,Right leg in first,Left side,8,2,1,2
male,2948,black,67,780,0,1,80,yes,16,yes,0,no,right,10.5,5,10,20,15,yes,no,0,no,yes,1,Apple,no,yes,yes,yes,yes,Left leg in first,Back,6,0,7,5
b,1738,brown,68,2340,1,5,98,yes,13,yes,0,no,right,10.5,5,1,40,20,yes,yes,17,no,yes,5,Apple,no,yes,yes,yes,yes,Left leg in first,Back,9,0,3,9
male,1776,brown,68,2,2,4,96,no,9,yes,0,no,right,11,5,4,40,26,yes,yes,4,yes,yes,8,Apple,yes,yes,yes,yes,no,Right leg in first,Stomach,5,0,3,5
male,4264,brown,71,4000,4,3,95,yes,16,yes,4,no,right,10.5,5,8,41,18,yes,yes,12,yes,yes,3,Apple,no,yes,yes,yes,yes,Left leg in first,Left side,11,0,9,8
male,1210,hazel,73,40,3,1,60,yes,10,yes,0,no,right,10.5,5,12,41,22,yes,yes,1,no,no,0,Android,no,no,yes,yes,yes,Left leg in first,Back,7,0,4,5
male,1239,brown,70,2.04,4,0,0,yes,18,yes,0,no,left,10,0,9,41,20,yes,yes,2,no,no,0,Android,no,yes,yes,yes,yes,Left leg in first,Left side,7,0,5,9
male,2004,brown,73,20,1,1,65,yes,13,yes,0,no,left,12,0,3,43,20,no,yes,2,yes,no,0,Apple,yes,yes,yes,yes,yes,Right leg in first,Stomach,8,0,4,7
male,1234,brown,69,25,1,0,88,yes,11,no,0,no,right,11.5,5,7,42,16,yes,no,0,no,no,0,Apple,no,yes,yes,yes,no,Right leg in first,Back,7,0,7,6
female,2020,green,63,25,1,0,60,yes,3,no,0,no,right,10,0,1,34,17,yes,yes,1,yes,yes,3,Apple,no,yes,yes,yes,no,Right leg in first,Left side,7,2,8,5
male,1232,brown,6,200,8,2,78,yes,13,yes,0,no,right,11,15,11,,24,yes,yes,1,yes,no,0,Apple,no,yes,yes,yes,yes,Right leg in first,Left side,7,0,8,8
